STT,Mã kiểm tra,Trạng thái,Số lượng HS tìm thấy,Đánh giá trùng lặp,Tóm tắt đối chiếu,Ký hiệu hồ sơ (HS 1),Mã hệ thống (HS 1),Tiêu đề hồ sơ (HS 1),Năm (HS 1),Thời hạn bảo quản (HS 1),Link chi tiết (HS 1),Nội dung chi tiết tất cả hồ sơ quét được,Ghi chú / Lỗi
45,"H31.05.02.H31.09.2008.325",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng Tên hồ sơ (khác: Mã hệ thống, Năm)","H31.05.02.H31.09.2008.325","H31.09.2008.002281","Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42)",2008,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2281/index.aspx?am=0,1,2&rf=639253254798810498","[HS 1] Ký hiệu: H31.05.02.H31.09.2008.325 | Mã HT: H31.09.2008.002281 | Năm: 2008 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2008.325 | Mã HT: H31.09.2008.002458 | Năm: 2008 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2008.325 | Mã HT: H31.09.2008.002635 | Năm: 2008 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2008.325 | Mã HT: H31.09.2008.005614 | Năm: 2008 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2008.325 | Mã HT: H31.09.2008.008593 | Năm: 2008 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2008.325 | Mã HT: H31.09.2006.002180 | Năm: 2006 (THBQ: 1) | Tiêu đề: Tập lưu Chứng chỉ Quy hoạch Sở Xây dựng tỉnh Hưng Yên năm 2006 - 2008 (từ số 01 - 42)",""
46,"H31.05.02.H31.09.2009.326",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.326","H31.09.2009.002181","Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2181/index.aspx?am=0,1,2&rf=639253254806310201","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.326 | Mã HT: H31.09.2009.002181 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.326 | Mã HT: H31.09.2009.002282 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.326 | Mã HT: H31.09.2009.002459 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.326 | Mã HT: H31.09.2009.002636 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.326 | Mã HT: H31.09.2009.005615 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.326 | Mã HT: H31.09.2009.008594 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Quyết định của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 122)",""
47,"H31.05.02.H31.09.2009.327",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.327","H31.09.2009.002182","Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2182/index.aspx?am=0,1,2&rf=639253254813810819","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.327 | Mã HT: H31.09.2009.002182 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.327 | Mã HT: H31.09.2009.002283 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.327 | Mã HT: H31.09.2009.002460 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.327 | Mã HT: H31.09.2009.002637 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.327 | Mã HT: H31.09.2009.005616 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.327 | Mã HT: H31.09.2009.008595 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Báo cáo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ 01-79)",""
48,"H31.05.02.H31.09.2009.328",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.328","H31.09.2009.002183","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2183/index.aspx?am=0,1,2&rf=639253254821310524","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.328 | Mã HT: H31.09.2009.002183 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.328 | Mã HT: H31.09.2009.002284 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.328 | Mã HT: H31.09.2009.002461 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.328 | Mã HT: H31.09.2009.002638 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.328 | Mã HT: H31.09.2009.005617 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.328 | Mã HT: H31.09.2009.008596 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 111)",""
49,"H31.05.02.H31.09.2009.329",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.329","H31.09.2009.002184","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2184/index.aspx?am=0,1,2&rf=639253254828966929","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.329 | Mã HT: H31.09.2009.002184 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.329 | Mã HT: H31.09.2009.002285 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.329 | Mã HT: H31.09.2009.002462 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.329 | Mã HT: H31.09.2009.002639 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.329 | Mã HT: H31.09.2009.005618 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.329 | Mã HT: H31.09.2009.008597 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 112 - 218)",""
50,"H31.05.02.H31.09.2009.330",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.330","H31.09.2009.002185","Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2185/index.aspx?am=0,1,2&rf=639253254836780012","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.330 | Mã HT: H31.09.2009.002185 | Năm: 2009 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.330 | Mã HT: H31.09.2009.002286 | Năm: 2009 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.330 | Mã HT: H31.09.2009.002463 | Năm: 2009 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.330 | Mã HT: H31.09.2009.002640 | Năm: 2009 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.330 | Mã HT: H31.09.2009.005619 | Năm: 2009 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.330 | Mã HT: H31.09.2009.008598 | Năm: 2009 (THBQ: 1) | Tiêu đề: Hồ sơ Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 219 - 294)",""
51,"H31.05.02.H31.09.2009.331",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.331","H31.09.2009.002186","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2186/index.aspx?am=0,1,2&rf=639253254844279729","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.331 | Mã HT: H31.09.2009.002186 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.331 | Mã HT: H31.09.2009.002287 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.331 | Mã HT: H31.09.2009.002464 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.331 | Mã HT: H31.09.2009.002641 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.331 | Mã HT: H31.09.2009.005620 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.331 | Mã HT: H31.09.2009.008599 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 295 - 364)",""
52,"H31.05.02.H31.09.2009.332",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.332","H31.09.2009.002187","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2187/index.aspx?am=0,1,2&rf=639253254851936141","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.332 | Mã HT: H31.09.2009.002187 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.332 | Mã HT: H31.09.2009.002288 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.332 | Mã HT: H31.09.2009.002465 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.332 | Mã HT: H31.09.2009.002642 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.332 | Mã HT: H31.09.2009.005621 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.332 | Mã HT: H31.09.2009.008600 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 365 -475)",""
53,"H31.05.02.H31.09.2009.333",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.333","H31.09.2009.002188","Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2188/index.aspx?am=0,1,2&rf=639253254859280041","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.333 | Mã HT: H31.09.2009.002188 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.333 | Mã HT: H31.09.2009.002289 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.333 | Mã HT: H31.09.2009.002466 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.333 | Mã HT: H31.09.2009.002643 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.333 | Mã HT: H31.09.2009.005622 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.333 | Mã HT: H31.09.2009.008601 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Công văn của Sở Xây dựng tỉnh Hưng Yên năm 2009
(từ số 476 - 619)",""
54,"H31.05.02.H31.09.2009.334",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.334","H31.09.2009.002189","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2189/index.aspx?am=0,1,2&rf=639253254866937129","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.334 | Mã HT: H31.09.2009.002189 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.334 | Mã HT: H31.09.2009.002290 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.334 | Mã HT: H31.09.2009.002467 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.334 | Mã HT: H31.09.2009.002644 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.334 | Mã HT: H31.09.2009.005623 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.334 | Mã HT: H31.09.2009.008602 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 60)",""
55,"H31.05.02.H31.09.2009.335",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.335","H31.09.2009.002190","Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2190/index.aspx?am=0,1,2&rf=639253254874593531","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.335 | Mã HT: H31.09.2009.002190 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.335 | Mã HT: H31.09.2009.002291 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.335 | Mã HT: H31.09.2009.002468 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.335 | Mã HT: H31.09.2009.002645 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.335 | Mã HT: H31.09.2009.005624 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.335 | Mã HT: H31.09.2009.008603 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu Tờ trình của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 61 - 125)",""
56,"H31.05.02.H31.09.2009.336",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.336","H31.09.2009.002191","Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2191/index.aspx?am=0,1,2&rf=639253254882093490","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.336 | Mã HT: H31.09.2009.002191 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.336 | Mã HT: H31.09.2009.002292 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.336 | Mã HT: H31.09.2009.002469 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.336 | Mã HT: H31.09.2009.002646 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.336 | Mã HT: H31.09.2009.005625 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.336 | Mã HT: H31.09.2009.008604 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 01 - 89)",""
57,"H31.05.02.H31.09.2009.337",ĐÃ TỒN TẠI (6 HS),6,"CÙNG TIÊU ĐỀ","Có 6 hồ sơ trùng hoàn toàn cả Tên, Ký hiệu và Năm","H31.05.02.H31.09.2009.337","H31.09.2009.002192","Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179)",2009,1,"http://ktdl.soxaydung.hungyen.gov.vn/systems/filesviewdetail/iid/2192/index.aspx?am=0,1,2&rf=639253254890218159","[HS 1] Ký hiệu: H31.05.02.H31.09.2009.337 | Mã HT: H31.09.2009.002192 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179) ; [HS 2] Ký hiệu: H31.05.02.H31.09.2009.337 | Mã HT: H31.09.2009.002293 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179) ; [HS 3] Ký hiệu: H31.05.02.H31.09.2009.337 | Mã HT: H31.09.2009.002470 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179) ; [HS 4] Ký hiệu: H31.05.02.H31.09.2009.337 | Mã HT: H31.09.2009.002647 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179) ; [HS 5] Ký hiệu: H31.05.02.H31.09.2009.337 | Mã HT: H31.09.2009.005626 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179) ; [HS 6] Ký hiệu: H31.05.02.H31.09.2009.337 | Mã HT: H31.09.2009.008605 | Năm: 2009 (THBQ: 1) | Tiêu đề: Tập lưu thông báo của Sở Xây dựng tỉnh Hưng Yên năm 2009 (từ số 90 - 179)",""
